fold,model,n_test,median_r2,mean_r2,frac_r2_pos,rmse,split_scheme,variety
0,mean,3,0.0,0.0,0.0,1.1265065670013428,leave_condition_out,A
0,design_only,3,0.11227378,-0.20370775,0.60375,0.9920361042022705,leave_condition_out,A
0,cognate_ridge,3,0.11399481,-0.20856366,0.60875,0.9956592917442322,leave_condition_out,A
0,pca_ridge,3,-0.0052801967,-1.3417038,0.495,1.1275253295898438,leave_condition_out,A
0,pls,3,0.0858683,-0.68465716,0.5625,1.0205174684524536,leave_condition_out,A
0,multimodal_ae,3,0.11998886,-0.13210997,0.60625,1.0016589164733887,leave_condition_out,A
1,mean,3,0.0,0.0,0.0,1.1545438766479492,leave_condition_out,A
1,design_only,3,-0.02958715,-0.22402374,0.36375,1.1997056007385254,leave_condition_out,A
1,cognate_ridge,3,-0.002761364,-0.19927436,0.39,1.1717135906219482,leave_condition_out,A
1,pca_ridge,3,0.1990802,-0.1751357,0.48125,0.996788501739502,leave_condition_out,A
1,pls,3,0.27980655,0.07607507,0.52,0.9429641962051392,leave_condition_out,A
1,multimodal_ae,3,0.032731146,0.0029871147,0.44125,1.1254075765609741,leave_condition_out,A
2,mean,3,0.0,0.0,0.0,0.7784034609794617,leave_condition_out,A
2,design_only,3,-0.031896114,-1.4387525,0.385,0.8342220783233643,leave_condition_out,A
2,cognate_ridge,3,-0.041547716,-1.4694028,0.3725,0.8390753865242004,leave_condition_out,A
2,pca_ridge,3,-0.12756479,-1.1857929,0.34125,0.8486592173576355,leave_condition_out,A
2,pls,3,-0.092140496,-0.71464187,0.35125,0.8146646618843079,leave_condition_out,A
2,multimodal_ae,3,-0.04514742,-0.26631138,0.34625,0.815529465675354,leave_condition_out,A
3,mean,3,0.0,0.0,0.0,0.8785247206687927,leave_condition_out,A
3,design_only,3,-0.08706987,-0.56802374,0.325,0.9227614402770996,leave_condition_out,A
3,cognate_ridge,3,-0.087147,-0.622505,0.32375,0.9273797273635864,leave_condition_out,A
3,pca_ridge,3,-0.40494895,-2.5376968,0.23125,1.128456711769104,leave_condition_out,A
3,pls,3,-0.18793416,-1.7191361,0.2825,0.9827198386192322,leave_condition_out,A
3,multimodal_ae,3,-0.02761054,-0.22936466,0.35125,0.8984808325767517,leave_condition_out,A
4,mean,3,0.0,0.0,0.0,0.8974760174751282,leave_condition_out,A
4,design_only,3,-0.0009818077,-0.25317162,0.39625,0.9446596503257751,leave_condition_out,A
4,cognate_ridge,3,-0.000900507,-0.25503936,0.39875,0.9446982741355896,leave_condition_out,A
4,pca_ridge,3,-0.07240164,-0.44227976,0.3425,0.9395419359207153,leave_condition_out,A
4,pls,3,-0.087570906,-0.45006856,0.33125,0.9397354125976562,leave_condition_out,A
4,multimodal_ae,3,-0.028323352,-0.15726154,0.335,0.9282429814338684,leave_condition_out,A
5,mean,3,0.0,0.0,0.0,0.8943254947662354,leave_condition_out,A
5,design_only,3,0.029194593,-1.1364195,0.42125,0.8716735243797302,leave_condition_out,A
5,cognate_ridge,3,0.033562124,-1.1313287,0.42125,0.8668950796127319,leave_condition_out,A
5,pca_ridge,3,0.23763767,-0.6695618,0.49375,0.7590714693069458,leave_condition_out,A
5,pls,3,0.29016814,-0.36514717,0.52,0.7410117983818054,leave_condition_out,A
5,multimodal_ae,3,-0.085814,-1.1022413,0.3175,0.9703946113586426,leave_condition_out,A
6,mean,3,0.0,0.0,0.0,0.8686572313308716,leave_condition_out,A
6,design_only,3,-0.090284824,-1.0567007,0.32375,0.9343527555465698,leave_condition_out,A
6,cognate_ridge,3,-0.06246543,-1.3680654,0.33625,0.9282882213592529,leave_condition_out,A
6,pca_ridge,3,-0.10563201,-1.5493678,0.34375,0.9813151359558105,leave_condition_out,A
6,pls,3,-0.06739825,-1.1570195,0.335,0.9322863817214966,leave_condition_out,A
6,multimodal_ae,3,-0.016650379,-0.6578476,0.3625,0.8962037563323975,leave_condition_out,A
7,mean,3,0.0,0.0,0.0,0.9505746960639954,leave_condition_out,A
7,design_only,3,-0.031563997,-1.6549656,0.37875,0.9596353769302368,leave_condition_out,A
7,cognate_ridge,3,-0.046396732,-1.6382359,0.37875,0.9488668441772461,leave_condition_out,A
7,pca_ridge,3,0.24733835,-1.0911839,0.4725,0.7386370897293091,leave_condition_out,A
7,pls,3,0.24524999,-0.8523247,0.4875,0.7528573870658875,leave_condition_out,A
7,multimodal_ae,3,0.025442123,-0.40214613,0.42,0.9562733769416809,leave_condition_out,A
0,mean,12,0.0,0.0,0.0,1.0237441062927246,leave_treatment_out,A
0,design_only,12,-0.014330745,-0.07377593,0.4625,1.0331051349639893,leave_treatment_out,A
0,cognate_ridge,12,-0.007026732,-0.048509035,0.48375,1.0145466327667236,leave_treatment_out,A
0,pca_ridge,12,-0.4931363,-2.2201116,0.27625,1.4517017602920532,leave_treatment_out,A
0,pls,12,-0.37265146,-2.025795,0.285,1.4178438186645508,leave_treatment_out,A
0,multimodal_ae,12,-0.065728426,-0.19123505,0.3725,1.0765548944473267,leave_treatment_out,A
1,mean,12,0.0,0.0,0.0,0.8858668804168701,leave_treatment_out,A
1,design_only,12,0.11111286,0.08068004,0.27625,0.8352078795433044,leave_treatment_out,A
1,cognate_ridge,12,0.1111128,0.06691145,0.27125,0.830360472202301,leave_treatment_out,A
1,pca_ridge,12,-0.32925946,-0.7042965,0.12,1.062965750694275,leave_treatment_out,A
1,pls,12,-0.26601207,-0.4926805,0.13625,1.0208102464675903,leave_treatment_out,A
1,multimodal_ae,12,-0.043569505,-0.09240612,0.15,0.9404790997505188,leave_treatment_out,A
