,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR2A03G00636370,-8.225441e-06,0.010400951,0.010400951,-0.24035072,-0.36358118,-0.051319003
TraesNOR7A03G04022530,-0.0009672642,0.07039136,0.047953486,0.14268905,-0.11822736,0.032273114
TraesNOR4B03G02392900,-0.0008919239,0.28416872,0.62511766,0.78238887,0.7743603,0.1642574
TraesNOR3D03G02008900,-0.0005019903,0.15724015,0.6169149,0.6258186,0.4807155,-0.020363808
TraesNOR2B03G01091350,-0.0018752813,0.24577379,0.6267732,0.66891634,0.6168071,0.018738031
TraesNOR3D03G02022770,-2.4557114e-05,0.39354247,0.54385406,0.82658833,0.81341827,0.13632196
TraesNOR6B03G03607860,-2.8014183e-05,0.065537095,0.36834705,0.5384668,0.6082736,-0.06835294
TraesNOR7D03G04455080,-8.1419945e-05,0.05496323,-0.007851362,0.10342926,0.12618977,0.014381528
TraesNOR4D03G02440310,-0.0011310577,0.35014987,0.56271684,0.6835986,0.62392455,0.01818651
TraesNOR2D03G01101050,-0.0027259588,0.4223203,0.64715254,0.8729794,0.8577411,0.1736905
TraesNOR1D03G00579230,-0.007996917,-0.14640641,-0.25443363,-0.12228167,-0.1109153,0.05003214
TraesNOR5D03G03140220,-0.00031352043,0.37854618,0.49627173,0.5234085,0.33365935,0.31539923
TraesNOR6D03G03828630,-0.5472224,-0.11763024,0.4980899,0.7408319,0.6601596,0.31732827
TraesNOR2D03G01275910,-4.6491623e-06,0.43038756,0.5677886,0.6323051,0.650815,0.0032494068
TraesNOR2A03G00821930,-0.00509429,-0.32158065,-0.02940774,0.23328608,0.3101734,-0.33131588
TraesNOR7A03G03913820,-0.012704372,-0.25586104,-0.3480419,-1.3645172,-0.26682186,0.035552442
TraesNOR2B03G00876620,-0.00027298927,0.19033545,0.35982567,0.81630313,0.71511114,0.016367257
TraesNOR6A03G03415580,-5.6743622e-05,0.17382693,0.15175682,-0.03706777,0.019050479,0.09827626
TraesNOR2B03G00876790,-0.00014173985,0.499332,0.8266706,0.8409223,0.73473144,0.3669091
TraesNOR2D03G01131260,-0.33333373,-0.06696963,-0.07516372,0.97771037,0.978081,0.36653847
TraesNOR1B03G00385700,-0.014156103,-0.0025658607,0.01872468,-0.34342396,-0.3400463,0.0058971047
TraesNOR4D03G02563300,-0.7312583,-1.1656697,-0.6165687,-0.21127951,-0.3604678,-0.24078262
TraesNOR3B03G01607560,-0.008850098,0.03476262,0.05467397,-0.08361697,-0.19095778,0.07509881
TraesNOR6D03G03776730,-0.0011888742,-0.30760384,0.0056461096,0.3119769,0.44598794,-0.20671487
TraesNOR1A03G00098990,-0.0013889074,0.21665299,0.42850035,0.6828522,0.60070163,0.08508003
TraesNOR5A03G02622580,-0.3814925,0.14001405,0.15040469,0.5978384,0.6968972,-0.23417449
TraesNORUn03G04605870,-0.00026369095,-0.30694222,-0.20524204,-0.021298409,-0.029237866,-0.07325971
TraesNOR6B03G03468050,-0.28633237,-0.9728639,-0.90194345,-2.3630958,-1.2337356,-0.3792988
TraesNOR7D03G04492200,-0.0006489754,-0.13608539,-0.26629436,-0.7771102,-0.11590505,-0.055490494
TraesNOR2B03G00840710,-0.3333336,0.24133772,0.27675736,0.9591911,0.9946787,0.22143418
TraesNOR2D03G01321020,-0.001385808,-0.16667235,-0.19055164,-0.24893188,-0.01919043,-0.07638514
TraesNOR6D03G03732050,-0.0002926588,-0.5149349,-0.13815367,0.32710528,0.4137243,-0.09163344
TraesNOR6B03G03627380,-0.0016013384,-0.2635126,-0.24100351,-0.0727942,0.08112103,-0.0021377802
TraesNOR5B03G03040060,-0.081121564,0.22664481,0.22664481,0.6596757,0.1818164,0.16280496
TraesNOR3A03G01466950,-0.5775447,-0.10799074,0.53983986,0.83849627,0.67595845,-0.18893874
TraesNOR1D03G00545270,-0.0027772188,-0.57662606,-0.64241827,-0.4394294,-0.54037035,-0.12316322
TraesNOR2A03G00638470,-0.0014753342,-0.071829796,0.13329649,-0.046598434,-0.07872951,0.12516516
TraesNOR4B03G02382270,-0.0023673773,0.3383419,0.41094,0.8749237,0.8639872,0.36411107
TraesNORUn03G04759970,-0.36010325,-0.3639747,0.38661784,0.3007468,0.39514816,0.14775324
TraesNOR1B03G00229620,-0.002814889,-0.28534448,-0.24998748,-0.64795446,-0.10988712,0.055014074
TraesNOR1D03G00582370,-0.0059551,-0.52504325,-0.5242666,-0.81173193,-0.43454397,-0.3173833
TraesNOR3A03G01527950,-0.0035870075,0.14045161,0.1370346,0.618297,0.59725255,0.18900782
TraesNOR1A03G00098970,-6.198883e-06,0.331302,0.69048405,0.78848076,0.72815824,0.29566872
TraesNOR5B03G02836180,-0.0059491396,0.08987212,0.118284345,0.1307391,0.08896279,0.07351035
TraesNOR4A03G02064760,-0.0010222197,0.41239893,0.6021699,0.8724542,0.83219695,0.22314918
TraesNOR2D03G01104990,-0.00094771385,-0.3016312,-0.12148297,0.31071526,0.36987668,-0.06621671
TraesNOR2D03G01105210,-5.042553e-05,0.3381676,0.35108167,0.71656346,0.6926312,0.31345743
TraesNOR6A03G03274030,-0.3333336,0.2758848,0.2758848,0.9873299,0.9983209,0.38916028
TraesNOR6A03G03416340,-9.846687e-05,0.2543286,0.48348653,0.7457296,0.7317153,0.17880088
TraesNOR4B03G02241060,-0.00027048588,0.2811588,0.44299424,0.7386003,0.6622097,0.21455711
TraesNOR3D03G01915960,-0.1428572,0.9937101,0.5604717,0.99372154,0.99803686,0.90803313
TraesNOR4A03G02069810,-0.004163146,0.2555406,0.19385213,0.6398747,0.62085676,0.025318146
TraesNOR2B03G00981310,-0.47043145,-0.027932882,-0.027932644,0.12854713,-0.055029154,-0.34192395
TraesNOR4B03G02357470,-0.00033938885,-0.3831514,0.080777705,0.35624492,0.3807546,-0.1745224
TraesNORUn03G04608430,-0.42205095,0.22852409,0.22852427,0.771638,0.7691735,0.15093386
TraesNOR1A03G00180380,-0.008240938,-0.14552665,-0.17892206,-0.5882335,-0.15146875,0.077406645
TraesNOR2D03G01131270,-0.00070488453,0.26758534,0.288572,0.7847395,0.6596341,0.34021842
TraesNOR3B03G01787670,-0.003211856,0.47545135,0.5637143,0.8671434,0.8367258,0.25462198
TraesNOR6A03G03421600,-0.0005413294,0.1893388,0.15521473,-0.0058733225,0.1639077,-0.17857873
TraesNOR3B03G01686480,-5.9247017e-05,0.13995332,0.1573286,0.7462608,0.7215835,0.125965
TraesNOR3D03G01946340,-0.64177537,-0.9627156,-0.6991985,-0.55093217,-0.55894315,-0.2861122
TraesNOR3A03G01331670,-0.002922535,-0.006354809,-0.10436165,-0.39513457,-0.12771583,-0.3107251
TraesNOR2D03G01249600,-0.0045028925,0.032708704,0.0075457096,0.6428447,0.71120036,-0.028065085
TraesNOR3B03G01577720,-0.001511693,0.4135819,0.3304035,-0.00052702427,-0.17657709,0.16903603
TraesNOR2D03G01104060,-0.0055907965,-0.61634433,-0.65961444,0.021806836,-0.11118734,-0.28547966
TraesNOR4B03G02379100,-0.7010981,-0.22418833,-0.40803587,0.7494706,0.7673066,0.104432106
TraesNOR6D03G03834120,-0.00029349327,0.101579785,0.13191736,0.73913455,0.73667216,-0.020527959
TraesNOR5D03G03166480,-2.3841858e-06,0.41297263,0.34145612,0.8451326,0.7972667,0.20467311
TraesNOR3B03G01786870,-0.00042045116,0.27998435,0.2877609,0.6511726,0.5789551,0.104275405
TraesNOR2B03G01082730,-2.7179718e-05,0.1244272,0.078968704,0.09570271,0.20294529,0.23278052
TraesNOR2B03G00861570,-0.14285684,0.7196075,0.7196075,0.94361573,0.78133816,0.60956204
TraesNOR1B03G00195290,-0.08904064,-0.5423982,-0.4830799,-0.5434383,-0.8738332,-0.38904536
TraesNOR5B03G02993780,-0.0024994612,0.114357114,0.113437474,0.013681114,-0.018466115,0.07685804
TraesNOR3D03G01830040,-0.24367416,-0.24544764,-0.048687696,0.187536,0.2406171,0.20138669
TraesNOR4B03G02381910,-2.193451e-05,0.326474,0.298352,0.8533778,0.8367067,0.1232546
TraesNORUn03G04710470,-0.0013878345,0.31746012,0.33270735,0.050766766,-0.17972124,0.081848085
TraesNOR5A03G02765830,-0.00037109852,0.025481164,0.025481164,0.028897762,0.0800432,-0.013278604
TraesNOR3D03G01980890,-0.009306431,0.05356121,0.1148721,0.02216804,-0.0025353432,-0.05349958
TraesNOR2D03G01137280,-0.44662666,0.17654848,0.1245718,0.1366995,0.04540974,0.047457397
TraesNOR2D03G01320700,-0.00035619736,0.3707509,0.3615948,0.6320529,0.4409315,0.27668422
TraesNOR5B03G02963650,-0.0075210333,-0.20312452,0.013216794,0.33936447,0.4454404,0.067964435
TraesNOR2B03G01074180,-0.0028560162,-0.09082675,-0.084905624,-0.1102376,-0.26990914,-0.13330126
TraesNOR4B03G02299460,-0.0007876158,-0.055476785,-0.059476137,-0.1881442,-0.2359705,-0.04030764
TraesNOR1B03G00353620,-0.0010923147,-0.31979978,-0.31979978,-0.57953084,-0.17428398,0.033951044
TraesNOR3D03G02023050,-0.00010704994,0.08961946,0.10492104,-1.0570717,-0.011730552,0.012061298
TraesNOR3B03G01704270,-0.0136909485,-0.075422525,-0.075422525,-0.14749384,-0.11904669,-0.073915124
TraesNORUn03G04625200,-4.6491623e-06,0.16784108,0.16070282,0.0013671517,-0.09731054,0.02153796
TraesNOR3D03G02014190,-0.00010192394,0.22101182,0.41810238,0.7800847,0.7199891,0.3659371
TraesNOR4D03G02577960,-0.009973884,0.0387581,0.04020542,0.60710114,0.5268986,0.09181094
TraesNOR4A03G02131300,-0.027464151,-0.96348965,-1.2644064,-0.66793644,-0.3060931,-0.100670695
TraesNOR5D03G03143090,-0.01427722,0.38918692,0.3891868,0.26398212,-0.06409657,0.039814413
TraesNOR6B03G03645930,-0.001617074,-0.2201302,-0.23488379,0.274904,0.347008,0.13148367
TraesNOR7D03G04367510,-0.005045533,-0.5984745,-0.64475787,-0.83382905,-0.10668743,-0.28140318
TraesNOR2D03G01150760,-0.12595725,-0.20369065,-0.20369077,-0.1254698,-0.37233603,-0.29088044
TraesNORUn03G04579290,-0.014095664,0.000623703,0.000623703,-0.2673173,-0.15471172,0.08015174
TraesNOR3A03G01370600,-0.3290727,-0.8563366,-0.7301024,-0.7236215,0.026097834,-0.41111934
TraesNORUn03G04669740,-0.041274548,-0.055638433,-0.055638313,-0.38857782,-0.22566295,-0.108189344
TraesNOR3D03G02007890,-0.32911265,0.1444934,0.59939736,0.854942,0.8628826,0.10273731
TraesNOR3A03G01527440,-0.0034269094,0.38157606,0.41374445,0.8248746,0.8134387,0.35947853
TraesNOR5B03G02884830,-0.11856282,-0.728477,-0.728477,-0.56058025,-0.4654714,-0.20105898
TraesNOR2A03G00596690,-0.01057744,0.064843,-0.024203777,0.30636966,-0.1033237,0.14717603
TraesNOR2B03G01000990,-0.0006505251,-0.008001447,-0.08855212,-0.10726786,-0.058012843,-0.27552402
TraesNOR3B03G01612180,-0.0111448765,-0.8088324,-0.8088324,-0.9623302,-0.6453345,-0.24927759
TraesNOR2A03G00804700,-0.121952176,-0.57677126,-0.64958906,-0.4998144,-0.40329385,-0.20855081
TraesNOR5D03G03263310,-0.00082719326,-0.50078726,-0.50078714,-0.6218358,-0.20503628,-0.40290284
TraesNOR6D03G03805690,-0.004778981,-0.5156462,-0.65288436,-0.3104272,-0.056951404,-0.15198553
TraesNOR5A03G02791060,-3.671646e-05,-0.46051085,-0.44492793,-0.2798853,0.19652629,-0.17159474
TraesNOR6B03G03469750,-0.0028278828,0.39473516,0.437011,0.85815066,0.7724714,-0.21445048
TraesNOR6B03G03540290,-0.00058472157,0.2776518,0.36939746,0.77578676,0.79543084,0.042081356
TraesNOR7A03G03858060,-0.14285672,0.74996716,0.7499671,0.60359895,0.83215696,0.41919047
TraesNOR2D03G01298060,-0.00066816807,0.0022403002,-8.59499e-05,-0.23424447,-0.1479652,-0.10287559
TraesNOR7D03G04517080,-0.33333373,0.4373014,0.36805892,0.94310695,0.9917259,0.29212117
TraesNOR6A03G03284010,-0.0042984486,0.27404845,0.24100924,0.8228732,0.83732665,0.2262227
TraesNOR5D03G03209140,-4.7683716e-07,0.07363099,0.06920254,0.16029912,0.28313643,0.13008463
TraesNOR7B03G04213650,-3.0875206e-05,0.14243126,0.16156733,0.2670712,0.13135082,0.16336298
TraesNOR2B03G00886850,-0.00083851814,0.017069459,0.017069638,-0.1166904,-0.060934782,-0.016194463
TraesNOR2A03G00674620,-0.0072419643,0.06672412,0.06672412,-0.18841517,-0.04534161,-0.08183086
TraesNOR3D03G01858850,-0.0010391474,0.0058075786,0.05328107,0.22477311,0.4400739,0.14047676
TraesNOR5D03G03147060,-0.0005197525,-0.86469483,-0.86469495,-0.50298345,-0.30239213,-0.056396484
TraesNOR4A03G02041510,-0.0010126829,0.42476028,0.5707909,0.9011979,0.84872967,0.21864122
