,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR2A03G00636370,-0.0004914999,0.016571939,0.016571939,-2.2136543,-1.6508691,-0.10894382
TraesNOR3D03G02008900,-0.009367466,0.29997617,0.21484196,-0.31404448,-0.6306915,-0.08404732
TraesNOR7A03G04022530,-2.3841858e-07,0.10326117,0.10326117,-1.9007008,-0.9158739,0.022891045
TraesNOR2B03G01091350,-0.026811004,0.08357996,0.23874843,-0.07101858,0.11357212,-0.029403806
TraesNOR2B03G00876620,-0.029919505,0.24972332,0.5812139,-0.6893345,-0.7594248,-0.3039837
TraesNOR5D03G03140220,-0.0020941496,0.41423,0.667969,-0.07886207,-0.48793745,0.0014128089
TraesNOR1D03G00579230,-0.0121154785,-0.08364034,0.033070326,-2.265038,-1.091049,-0.013810277
TraesNOR2A03G00821930,-0.0129573345,-0.09174693,0.3846144,0.0041643977,0.042598188,-0.02201736
TraesNOR5A03G02622580,-0.30350935,-0.10391545,0.62652946,-0.15202391,-0.4024316,-0.7965462
TraesNOR2D03G01275910,-0.003224969,0.20454735,0.40157473,-0.05179453,-0.027529716,-0.03953445
TraesNOR4B03G02382270,-0.017289162,0.40430653,0.4043064,0.4268083,0.37659335,-0.28647184
TraesNOR7D03G04455080,-4.172325e-06,0.042443633,0.042443633,-0.3327484,0.103606224,-0.0061306953
TraesNOR6D03G03732050,-0.06939328,-0.0959214,-0.0017473698,0.0299474,0.46146756,-0.07446289
TraesNOR6A03G03415580,-0.016768813,0.0860194,0.16902447,-0.47339892,-0.20223129,-0.079462886
TraesNOR4D03G02440310,-0.49300766,-0.42402184,-0.42402184,0.40353495,0.31022412,-0.08462858
TraesNOR2D03G01321020,-0.00022912025,0.02207309,0.02207297,-0.38430452,0.19564718,-0.058387637
TraesNOR4D03G02563300,-0.418859,-0.51063335,0.3194015,0.5314615,0.4967665,-0.94675136
TraesNOR5D03G03241170,-0.5344554,-0.6110095,0.5441063,0.46114647,0.5328834,-1.0123098
TraesNOR1A03G00098990,-0.028402686,0.07253176,0.23820394,-0.6588112,-0.6357969,0.0038707256
TraesNOR4A03G02069810,-0.034749627,0.2229824,0.071282744,-0.33383083,-0.30487525,-0.05370152
TraesNOR3B03G01746440,-0.16985738,-0.094923496,-0.094923496,-1.4422545,-1.7915468,-0.09403992
TraesNOR6B03G03630990,-0.48091638,-0.31456816,0.5627941,-0.7593782,-1.057401,-0.11596155
TraesNOR1A03G00098970,-0.009276509,0.2653476,0.7068472,-0.43633592,-0.6942282,-0.004078865
TraesNOR3A03G01466950,-0.6111568,-0.42833304,0.6727768,0.29631007,0.5473328,-1.2282395
TraesNOR6B03G03607860,-0.0009691715,0.041925907,0.2585715,-0.68635845,-0.21555007,0.024754584
TraesNOR2B03G00876790,-0.005249977,0.24236274,0.4202844,-0.5934936,-0.6473595,-0.11633825
TraesNOR3B03G01686480,-0.035145998,0.1904251,0.6514913,-0.052826405,-0.41828978,-0.24569833
TraesNOR6A03G03416340,-0.014013886,0.18282473,0.28971493,-0.032306075,-0.1995697,-0.3125131
TraesNOR6D03G03809720,-1.0000007,-1.3098507,0.18369788,0.7933481,0.7183318,-0.27585185
TraesNOR4B03G02241060,-0.014159918,0.2592442,0.2592442,-0.70528793,-0.95766497,0.014248431
TraesNOR2D03G01131270,-0.024735212,0.25432783,0.27927375,0.07215333,-0.044932723,-0.02636373
TraesNOR1D03G00545270,-0.00039196014,-0.34674895,-0.34674895,-1.5770679,-0.51235914,-0.13864315
TraesNOR3D03G01946340,-0.29076135,-0.6201798,-0.62018,-1.3740692,-0.7399477,-0.0068461895
TraesNORUn03G04605870,-0.00013911724,-0.15901566,-1.0784068,-1.6458359,-0.5427543,-0.0834471
TraesNOR2D03G01136960,-0.5204524,-1.0282993,0.0030260086,0.13124716,0.52248317,-0.11170697
TraesNOR5D03G03166480,-0.024438262,0.28972644,0.7109066,-0.09376669,-0.3928758,-0.055711627
TraesNOR4D03G02577960,-0.003358364,0.28798062,0.28798044,0.2926883,0.23984975,0.020529568
TraesNOR3B03G01787670,-0.00067460537,0.39197075,0.39197075,0.048339427,-0.2180922,-0.07820296
TraesNOR6A03G03274030,-0.19407654,0.20420682,0.20420682,-0.68599486,-0.9538189,0.13944083
TraesNOR5B03G02963650,-0.015019655,0.08695042,0.08695054,0.19291508,0.44082165,-0.17138255
TraesNOR3A03G01527950,-0.006250143,0.10000819,0.27430493,-0.5679753,-0.5998844,0.1549412
TraesNOR6D03G03828630,-0.49469483,-0.59988344,-0.05074358,-0.16020703,-0.022771716,-0.89993215
TraesNOR1D03G00582370,-0.020885468,-0.3113345,-0.3113345,-0.4929502,-1.877531,0.018791735
TraesNOR1A03G00180380,-0.03696227,-0.05792415,-0.05792415,-1.3731501,-1.1125991,-0.2959001
TraesNOR4A03G02064760,-0.0030213594,0.36908937,0.36908937,0.6757871,0.5886438,-0.1359626
TraesNOR2D03G01101050,-0.00010681152,0.14040339,0.7863096,0.13304502,0.053197145,-0.07427156
TraesNOR1D03G00474450,-0.39283025,-0.30518997,-0.30518997,0.30596542,0.1434151,-0.69305193
TraesNOR2B03G01082730,-3.874302e-05,0.117033064,0.117033064,-0.15666914,-0.38590014,-0.12766337
TraesNOR5D03G03060810,-0.5335258,-0.6664673,0.44027323,0.41017097,0.49726933,-0.7338654
TraesNOR3D03G02014190,-0.044841528,0.11849302,0.14438534,-0.2778827,-0.5809783,0.015317738
TraesNOR6D03G03776730,-3.5762787e-07,-0.17228556,0.08283782,-0.101385236,0.049466312,-0.10996401
TraesNOR6A03G03421600,-0.0022392273,0.08231419,0.10610551,-1.2686737,-0.343709,0.0021577477
TraesNOR3D03G02022770,-0.02136445,0.10354376,0.34408748,-0.112666845,-0.25202918,-0.061996102
TraesNOR4B03G02392900,-0.017736912,0.08316898,0.28777283,-0.28708577,-0.4185151,0.06621021
TraesNOR6A03G03284010,-0.010997176,0.29077852,0.29077852,0.44316733,0.3468588,-0.043503642
TraesNORUn03G04710470,-1.2040138e-05,0.36976385,0.3493871,0.35392672,0.16945845,-0.1881659
TraesNOR2D03G01104060,-0.007917523,-0.38087547,-0.38087547,-0.2813152,-0.3332727,-0.18476677
TraesNOR2B03G00861570,-0.2164619,-0.78084433,-0.78084433,0.18527842,0.31998587,0.12449968
TraesNOR3A03G01485500,-0.00018966198,-0.050640345,-0.050640345,-9.70817,-5.5262127,-0.661253
TraesNOR3D03G01980890,-0.3036363,-0.29059386,-0.29059386,-6.2858663,-0.56323314,0.31366998
TraesNOR2D03G01316150,-0.7390506,-0.8633739,0.39254832,-0.3150158,-0.285892,-1.4199758
TraesNOR2D03G01105210,-0.00063705444,0.19135731,0.19135731,-0.909201,-1.1307392,-0.05066049
TraesNOR2A03G00674620,-0.8837564,-1.1416717,-1.1416717,-0.12505984,-1.972089,-0.6037595
TraesNOR7B03G04186140,-0.41547215,-0.1851821,-0.1851821,-0.7968428,-3.4585743,-0.703511
TraesNOR3D03G01915960,-0.69453347,-0.6313603,-0.6313603,-0.027691245,-0.18719673,-1.4579949
TraesNOR2D03G01320700,-0.002689004,0.323012,0.4062109,-0.04295683,-0.6544663,-0.11009467
TraesNOR4A03G02041510,-0.014536142,0.32384986,0.7738398,0.06475192,0.02154249,-0.027738452
TraesNOR5B03G02836180,-0.011188149,0.13655841,0.13655841,-0.69756055,-0.401914,-0.14497995
