fold,model,n_test,median_r2,mean_r2,frac_r2_pos,rmse,split_scheme,variety
0,mean,3,0.0,0.0,0.0,1.1311019659042358,leave_condition_out,B
0,design_only,3,0.11051723,-0.62924296,0.59875,0.9848925471305847,leave_condition_out,B
0,cognate_ridge,3,0.11051723,-0.52630633,0.60125,0.9889002442359924,leave_condition_out,B
0,pca_ridge,3,0.08376962,-0.93007016,0.5525,1.023856520652771,leave_condition_out,B
0,pls,3,0.05773565,-1.0217702,0.5275,1.028051733970642,leave_condition_out,B
0,multimodal_ae,3,0.12627918,-0.017986668,0.645,1.012465476989746,leave_condition_out,B
1,mean,3,0.0,0.0,0.0,1.0143954753875732,leave_condition_out,B
1,design_only,3,-0.26327854,-0.9947038,0.24,1.1825581789016724,leave_condition_out,B
1,cognate_ridge,3,-0.1968109,-0.84176743,0.27125,1.1499452590942383,leave_condition_out,B
1,pca_ridge,3,0.17213333,-0.45683452,0.485,0.8804743885993958,leave_condition_out,B
1,pls,3,0.05807221,-0.73037636,0.4375,0.9147717356681824,leave_condition_out,B
1,multimodal_ae,3,0.11767936,0.023521954,0.52125,0.9282779693603516,leave_condition_out,B
2,mean,3,0.0,0.0,0.0,0.9052890539169312,leave_condition_out,B
2,design_only,3,0.001816392,-1.3919159,0.40625,0.9409746527671814,leave_condition_out,B
2,cognate_ridge,3,-0.010922909,-1.4164971,0.3975,0.9419093132019043,leave_condition_out,B
2,pca_ridge,3,0.05194688,-1.0238096,0.4325,0.9076572060585022,leave_condition_out,B
2,pls,3,0.06536043,-0.9623682,0.455,0.8972738981246948,leave_condition_out,B
2,multimodal_ae,3,-0.030556679,-0.38331616,0.35125,0.9462599754333496,leave_condition_out,B
3,mean,3,0.0,0.0,0.0,0.759082019329071,leave_condition_out,B
3,design_only,3,-0.06853479,-4.4419355,0.36125,0.857636034488678,leave_condition_out,B
3,cognate_ridge,3,-0.07547462,-4.4882765,0.355,0.8620947003364563,leave_condition_out,B
3,pca_ridge,3,-0.2188955,-1.8030202,0.3125,0.908839225769043,leave_condition_out,B
3,pls,3,-0.27319843,-2.0875533,0.2825,0.9430316090583801,leave_condition_out,B
3,multimodal_ae,3,0.013042569,-0.85067487,0.42375,0.7759395241737366,leave_condition_out,B
4,mean,3,0.0,0.0,0.0,0.9143004417419434,leave_condition_out,B
4,design_only,3,-0.09446299,-0.5779387,0.3,0.998912513256073,leave_condition_out,B
4,cognate_ridge,3,-0.10777354,-0.62544465,0.3025,0.9976555109024048,leave_condition_out,B
4,pca_ridge,3,-0.12955642,-0.8613598,0.3475,1.00688898563385,leave_condition_out,B
4,pls,3,-0.18784392,-0.74859077,0.3375,1.0201427936553955,leave_condition_out,B
4,multimodal_ae,3,-0.029817343,-0.35092303,0.36,0.9390217661857605,leave_condition_out,B
5,mean,3,0.0,0.0,0.0,0.8668850064277649,leave_condition_out,B
5,design_only,3,-0.013819218,-1.23213,0.39625,0.8837152123451233,leave_condition_out,B
5,cognate_ridge,3,-0.012112141,-1.3242738,0.3975,0.8720663189888,leave_condition_out,B
5,pca_ridge,3,0.12568885,-1.6406531,0.45,0.7412427663803101,leave_condition_out,B
5,pls,3,0.07313824,-1.6688398,0.425,0.7519066333770752,leave_condition_out,B
5,multimodal_ae,3,-0.08537102,-0.4540555,0.3375,0.9278058409690857,leave_condition_out,B
6,mean,3,0.0,0.0,0.0,0.8915299773216248,leave_condition_out,B
6,design_only,3,-0.37715054,-1.4308516,0.22625,1.1027674674987793,leave_condition_out,B
6,cognate_ridge,3,-0.40927827,-1.6198071,0.22875,1.099817156791687,leave_condition_out,B
6,pca_ridge,3,-0.29325378,-1.5999361,0.25375,1.0172901153564453,leave_condition_out,B
6,pls,3,-0.3225701,-1.7094185,0.2625,1.031670093536377,leave_condition_out,B
6,multimodal_ae,3,-0.0533545,-0.51646376,0.3125,0.941617488861084,leave_condition_out,B
7,mean,3,0.0,0.0,0.0,1.2002846002578735,leave_condition_out,B
7,design_only,3,-0.0007030964,-0.732123,0.37375,1.2034274339675903,leave_condition_out,B
7,cognate_ridge,3,0.018967181,-0.7318732,0.385,1.1942957639694214,leave_condition_out,B
7,pca_ridge,3,0.20163852,-1.1470608,0.4425,1.0466763973236084,leave_condition_out,B
7,pls,3,0.14709157,-1.7607793,0.43,1.0567891597747803,leave_condition_out,B
7,multimodal_ae,3,-0.05815327,-0.1788492,0.30625,1.25613272190094,leave_condition_out,B
0,mean,12,0.0,0.0,0.0,1.2141163349151611,leave_treatment_out,B
0,design_only,12,-0.093453825,-0.15126301,0.28625,1.273987054824829,leave_treatment_out,B
0,cognate_ridge,12,-0.07012361,-0.07167413,0.3725,1.2042243480682373,leave_treatment_out,B
0,pca_ridge,12,-0.008087873,-0.4386367,0.49625,1.1868422031402588,leave_treatment_out,B
0,pls,12,0.18978155,0.09156579,0.61125,1.0115444660186768,leave_treatment_out,B
0,multimodal_ae,12,-0.030683339,-0.09615761,0.435,1.2469277381896973,leave_treatment_out,B
1,mean,12,0.0,0.0,0.0,0.9253212809562683,leave_treatment_out,B
1,design_only,12,-0.026702702,-0.07877402,0.1675,0.9173221588134766,leave_treatment_out,B
1,cognate_ridge,12,-0.043715477,-0.08698927,0.16,0.9213758111000061,leave_treatment_out,B
1,pca_ridge,12,-0.5650385,-1.4292357,0.0825,1.2222076654434204,leave_treatment_out,B
1,pls,12,-0.71652746,-1.4955556,0.085,1.2340391874313354,leave_treatment_out,B
1,multimodal_ae,12,-0.04745841,-0.08602737,0.1375,0.9629492163658142,leave_treatment_out,B
