,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_037061_01G000200,-0.0014572144,0.29205126,0.80319244,0.926922,0.9340536,0.12349039
TraesCAD_scaffold_129059_01G000100,-7.200241e-05,0.5907334,0.66691345,0.82897323,0.8074395,0.07048845
TraesCAD_scaffold_058389_01G000100,-1.66893e-06,0.11505699,0.6001526,0.83903074,0.84415925,0.38831764
TraesCAD_scaffold_056989_01G000100,-0.0005092621,0.33603328,0.55873847,0.70813423,0.67860925,0.133896
TraesCAD_scaffold_013787_01G000100,-0.5157008,-0.2766651,0.5968839,0.8032421,0.80957496,0.34091192
TraesCAD_scaffold_031796_01G000100,-0.0012168884,0.5028955,0.52265,0.83531576,0.8345538,0.20261288
TraesCAD_scaffold_051953_01G000400,-0.33333302,-0.5782391,-0.6221788,0.9445707,0.92886823,0.033294022
TraesCAD_scaffold_030801_01G000200,-0.00034987926,0.4111436,0.75008357,0.77232075,0.75848186,0.27883685
TraesCAD_scaffold_105035_01G000100,-4.6253204e-05,-0.042919874,0.38534123,0.72033703,0.74920905,0.18534666
TraesCAD_scaffold_030585_01G000100,-0.33333254,-0.66857886,0.043958426,0.9796605,0.94017154,0.42433518
TraesCAD_scaffold_023652_01G000100,-0.00036132336,0.11718708,0.10425967,-0.006110668,-0.05308962,-0.27938926
TraesCAD_scaffold_001357_01G000300,-0.33333397,-0.40112352,0.13021886,0.93592554,0.9327259,0.59163415
TraesCAD_scaffold_053873_01G000100,-7.6293945e-05,0.30876762,0.57443774,0.8749307,0.8720418,0.1822409
TraesCAD_scaffold_014474_01G000300,-0.00021791458,0.002876699,0.4273485,0.7799741,0.77492183,0.17110384
TraesCAD_scaffold_003324_01G000300,-0.0030373335,0.35647315,0.54860806,0.8546962,0.85808647,-0.031880856
TraesCAD_scaffold_069763_01G000200,-0.0025180578,0.4587261,0.43071103,0.8888861,0.8802394,0.08609986
TraesCAD_scaffold_097324_01G000100,-0.5016837,-0.2638129,-0.2638129,0.70666265,0.6579,-0.6415241
TraesCAD_scaffold_043967_01G000500,-0.004675746,-0.3279301,-0.3495059,-0.32837522,-0.29192972,-0.09795165
TraesCAD_scaffold_086159_01G000100,-0.00088489056,0.3868636,0.4557454,0.89532584,0.88804203,0.28155512
TraesCAD_scaffold_011707_01G000400,-0.07894957,-0.55621064,-0.7219969,-0.71172154,-0.7305119,-0.09758115
TraesCAD_scaffold_051960_01G000100,-0.14285731,0.96460766,0.9646077,0.66488624,0.6597097,0.25696957
TraesCAD_scaffold_086112_01G000200,-0.00029110909,-0.041982293,0.13932282,-0.10911894,-0.3694905,-0.0320729
TraesCAD_scaffold_095755_01G000300,-0.5338931,-0.28880668,-0.39589834,0.7667612,0.7677703,0.42954117
TraesCAD_scaffold_109408_01G000100,-0.3779775,0.040238976,0.07585955,0.4201566,0.49622196,-0.19501925
