,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_058389_01G000100,-0.07143521,0.062016904,-0.08938706,-0.31243968,-0.72054946,-0.13972187
TraesCAD_scaffold_069169_01G000100,-0.90597594,-1.2996426,0.5845616,0.70277977,0.85719496,-0.31464744
TraesCAD_scaffold_133124_01G000100,-0.94246197,-1.8335228,0.408368,0.88311934,0.8728123,-0.26862276
TraesCAD_scaffold_037061_01G000200,-0.08795214,-0.057498455,0.091395736,0.90306956,0.76900953,-0.041661263
TraesCAD_scaffold_003324_01G000300,-0.03411007,0.20210773,0.20210767,-0.19584465,0.10826373,-0.16414607
TraesCAD_scaffold_129059_01G000100,-0.0013506413,0.28895003,0.43531668,-0.13848841,-0.30734158,-0.08262837
TraesCAD_scaffold_086112_01G000200,-0.008040786,-0.08181071,0.048591197,-0.2994268,-0.99859476,0.054983437
TraesCAD_scaffold_031796_01G000100,-0.8088603,-0.71746993,0.6618523,0.7992169,0.78773344,-0.5472224
TraesCAD_scaffold_116541_01G000100,-0.02584207,0.1802401,0.53385645,0.54848945,0.5310688,0.033352256
TraesCAD_scaffold_069763_01G000200,-0.8039473,-0.71736574,0.82178456,0.76990527,0.8436183,0.2798255
TraesCAD_scaffold_053873_01G000100,-0.6737001,-0.62949073,0.7315712,0.664411,0.7249823,-1.9183955
TraesCAD_scaffold_056989_01G000100,-0.03560722,0.03993243,0.198995,-0.9182677,-1.1203947,-0.08197498
TraesCAD_scaffold_078281_01G000100,-0.039613962,0.22282225,0.19725156,-0.118451715,-0.05450034,-0.0755409
TraesCAD_scaffold_054974_01G000300,-0.014318705,0.17955804,0.38054252,-0.17065823,-0.17296028,-0.08738208
TraesCAD_scaffold_056530_01G000300,-0.008023024,0.40460366,0.43621665,-0.29052997,-0.5071031,-0.35078228
TraesCAD_scaffold_042728_01G000100,-0.99999964,-1.3137677,0.6468626,0.97810143,0.9315836,-0.04292667
TraesCAD_scaffold_043967_01G000500,-0.0016256571,-0.15034914,-0.15034914,-0.9812515,-0.060556054,-0.06097293
TraesCAD_scaffold_109408_01G000100,-0.20144594,0.17931998,0.17932004,0.36062777,0.010430694,-0.3370602
TraesCAD_scaffold_105035_01G000100,-0.029338837,-0.090783,-0.090783,0.75114816,0.79733014,0.025340855
TraesCAD_scaffold_098437_01G000200,-0.8278992,-1.4397874,0.044256926,0.72071964,0.68645144,-0.9006463
TraesCAD_scaffold_110001_01G000200,-0.060269356,0.13445032,0.5897107,-0.33262718,-0.1922735,-0.18517804
TraesCAD_scaffold_069169_01G000200,-0.99009967,-1.2129009,0.5150927,0.7703854,0.7544595,-1.0539834
TraesCAD_scaffold_030801_01G000200,-0.8019208,-0.8500594,-0.85005915,0.80442995,0.80432916,-0.5434145
TraesCAD_scaffold_001357_01G000400,-0.07456708,0.0603981,-0.27650905,-0.43646002,-0.56836367,-0.13481486
TraesCAD_scaffold_004054_01G000200,-0.02597177,0.29231477,0.6354437,-0.55037737,-0.45684302,-0.04809153
TraesCAD_scaffold_336669_01G000200,-0.0014295578,-0.052411914,-0.052411795,-2.758466,-1.5736315,0.048081934
TraesCAD_scaffold_066027_01G000100,-0.7202079,-0.6683513,0.7900364,0.73616236,0.7352054,-0.21808338
TraesCAD_scaffold_029735_01G000400,-0.046052694,-0.11467266,0.012596309,-1.8748839,-1.1600969,-0.18214035
TraesCAD_scaffold_044525_01G000400,-0.33987284,-0.18439388,-0.18439388,0.116282046,0.21112347,-0.31325698
TraesCAD_scaffold_023652_01G000100,-0.24145281,-0.19309533,-0.19309533,-2.6430228,-1.4773121,-0.43023026
TraesCAD_scaffold_086907_01G000100,-0.014813542,-0.121273994,-0.121273994,-0.92897534,-0.16434288,-0.07737255
TraesCAD_scaffold_016154_01G000100,-0.00015795231,-0.016964197,-0.016964197,-0.2263236,-0.34610283,-0.05304897
TraesCAD_scaffold_034475_01G000100,-0.012201667,0.30402243,0.30402243,0.502838,0.34843236,-0.22166693
TraesCAD_scaffold_012706_01G000200,-0.009501338,0.19282311,0.19282311,-0.96241415,-0.5803348,0.027915418
TraesCAD_scaffold_038854_01G000100,-0.0013444424,-0.075862646,0.040751815,-3.6845737,-0.32532597,-0.27872336
TraesCAD_scaffold_037839_01G000200,-0.011723518,0.112357974,0.25332773,-0.9892123,-1.449712,0.07630825
TraesCAD_scaffold_082285_01G000100,-0.022612333,-0.120030284,-0.120030284,0.032488883,0.19396889,0.04887277
TraesCAD_scaffold_051960_01G000100,-0.9662901,-1.145201,-1.1452005,0.8984462,0.82222843,-0.6462754
TraesCAD_scaffold_048158_01G000500,-0.72735,-0.8801011,-0.88010097,0.6404307,0.42018628,0.1042552
TraesCAD_scaffold_002773_01G000600,-0.038330317,0.01602751,0.01602751,0.81066215,0.7935563,-0.06852341
TraesCAD_scaffold_039053_01G000200,-0.4524809,-0.14732921,0.35023266,0.36548012,0.44187373,-0.15350664
TraesCAD_scaffold_018010_01G000300,-0.081762314,0.103360295,0.1676181,-0.5480033,-0.6491996,-0.14769459
TraesCAD_scaffold_089470_01G000100,-0.6081158,-0.63463855,-0.63463855,-4.455589,-1.3666451,-1.6565936
TraesCAD_scaffold_166766_01G000100,-0.0016462803,-0.27948487,-0.27948487,-1.1142545,-0.5992427,-0.06547809
TraesCAD_scaffold_034393_01G000200,-0.16309536,-0.18740761,-0.18740773,-0.27919626,-0.0065431595,-0.3488723
TraesCAD_scaffold_016511_01G000100,-0.010452747,0.31870413,-0.5864656,-0.21936882,-0.3536526,-0.21069062
TraesCAD_scaffold_057132_01G000100,-0.08157694,0.10449338,0.16817659,0.10626829,-0.07726157,-0.0860275
TraesCAD_scaffold_011966_01G000100,-0.34545863,0.13973343,0.5470179,-1.248075,-0.18049634,0.3018238
