id_a,id_b
A_prot00000,B_prot00000
A_prot00001,B_prot00001
A_prot00002,B_prot00002
A_prot00003,B_prot00003
A_prot00004,B_prot00004
A_prot00005,B_prot00005
A_prot00006,B_prot00006
A_prot00007,B_prot00007
A_prot00008,B_prot00008
A_prot00009,B_prot00009
A_prot00010,B_prot00010
A_prot00011,B_prot00011
A_prot00012,B_prot00012
A_prot00013,B_prot00013
A_prot00014,B_prot00014
A_prot00015,B_prot00015
A_prot00016,B_prot00016
A_prot00017,B_prot00017
A_prot00018,B_prot00018
A_prot00019,B_prot00019
A_prot00020,B_prot00020
A_prot00021,B_prot00021
A_prot00022,B_prot00022
A_prot00023,B_prot00023
A_prot00024,B_prot00024
A_prot00025,B_prot00025
A_prot00026,B_prot00026
A_prot00027,B_prot00027
A_prot00028,B_prot00028
A_prot00029,B_prot00029
A_prot00030,B_prot00030
A_prot00031,B_prot00031
A_prot00032,B_prot00032
A_prot00033,B_prot00033
A_prot00034,B_prot00034
A_prot00035,B_prot00035
A_prot00036,B_prot00036
A_prot00037,B_prot00037
A_prot00038,B_prot00038
A_prot00039,B_prot00039
A_prot00040,B_prot00040
A_prot00041,B_prot00041
A_prot00042,B_prot00042
A_prot00043,B_prot00043
A_prot00044,B_prot00044
A_prot00045,B_prot00045
A_prot00046,B_prot00046
A_prot00047,B_prot00047
A_prot00048,B_prot00048
A_prot00049,B_prot00049
A_prot00050,B_prot00050
A_prot00051,B_prot00051
A_prot00052,B_prot00052
A_prot00053,B_prot00053
A_prot00054,B_prot00054
A_prot00055,B_prot00055
A_prot00056,B_prot00056
A_prot00057,B_prot00057
A_prot00058,B_prot00058
A_prot00059,B_prot00059
A_prot00060,B_prot00060
A_prot00061,B_prot00061
A_prot00062,B_prot00062
A_prot00063,B_prot00063
A_prot00064,B_prot00064
A_prot00065,B_prot00065
A_prot00066,B_prot00066
A_prot00067,B_prot00067
A_prot00068,B_prot00068
A_prot00069,B_prot00069
A_prot00070,B_prot00070
A_prot00071,B_prot00071
A_prot00072,B_prot00072
A_prot00073,B_prot00073
A_prot00074,B_prot00074
A_prot00075,B_prot00075
A_prot00076,B_prot00076
A_prot00077,B_prot00077
A_prot00078,B_prot00078
A_prot00079,B_prot00079
A_prot00080,B_prot00080
A_prot00081,B_prot00081
A_prot00082,B_prot00082
A_prot00083,B_prot00083
A_prot00084,B_prot00084
A_prot00085,B_prot00085
A_prot00086,B_prot00086
A_prot00087,B_prot00087
A_prot00088,B_prot00088
A_prot00089,B_prot00089
A_prot00090,B_prot00090
A_prot00091,B_prot00091
A_prot00092,B_prot00092
A_prot00093,B_prot00093
A_prot00094,B_prot00094
A_prot00095,B_prot00095
A_prot00096,B_prot00096
A_prot00097,B_prot00097
A_prot00098,B_prot00098
A_prot00099,B_prot00099
A_prot00100,B_prot00100
A_prot00101,B_prot00101
A_prot00102,B_prot00102
A_prot00103,B_prot00103
A_prot00104,B_prot00104
A_prot00105,B_prot00105
A_prot00106,B_prot00106
A_prot00107,B_prot00107
A_prot00108,B_prot00108
A_prot00109,B_prot00109
A_prot00110,B_prot00110
A_prot00111,B_prot00111
A_prot00112,B_prot00112
A_prot00113,B_prot00113
A_prot00114,B_prot00114
A_prot00115,B_prot00115
A_prot00116,B_prot00116
A_prot00117,B_prot00117
A_prot00118,B_prot00118
A_prot00119,B_prot00119
A_prot00120,B_prot00120
A_prot00121,B_prot00121
A_prot00122,B_prot00122
A_prot00123,B_prot00123
A_prot00124,B_prot00124
A_prot00125,B_prot00125
A_prot00126,B_prot00126
A_prot00127,B_prot00127
A_prot00128,B_prot00128
A_prot00129,B_prot00129
A_prot00130,B_prot00130
A_prot00131,B_prot00131
A_prot00132,B_prot00132
A_prot00133,B_prot00133
A_prot00134,B_prot00134
A_prot00135,B_prot00135
A_prot00136,B_prot00136
A_prot00137,B_prot00137
A_prot00138,B_prot00138
A_prot00139,B_prot00139
A_prot00140,B_prot00140
A_prot00141,B_prot00141
A_prot00142,B_prot00142
A_prot00143,B_prot00143
A_prot00144,B_prot00144
A_prot00145,B_prot00145
A_prot00146,B_prot00146
A_prot00147,B_prot00147
A_prot00148,B_prot00148
A_prot00149,B_prot00149
A_prot00150,B_prot00150
A_prot00151,B_prot00151
A_prot00152,B_prot00152
A_prot00153,B_prot00153
A_prot00154,B_prot00154
A_prot00155,B_prot00155
A_prot00156,B_prot00156
A_prot00157,B_prot00157
A_prot00158,B_prot00158
A_prot00159,B_prot00159
A_prot00160,B_prot00160
A_prot00161,B_prot00161
A_prot00162,B_prot00162
A_prot00163,B_prot00163
A_prot00164,B_prot00164
A_prot00165,B_prot00165
A_prot00166,B_prot00166
A_prot00167,B_prot00167
A_prot00168,B_prot00168
A_prot00169,B_prot00169
A_prot00170,B_prot00170
A_prot00171,B_prot00171
A_prot00172,B_prot00172
A_prot00173,B_prot00173
A_prot00174,B_prot00174
A_prot00175,B_prot00175
A_prot00176,B_prot00176
A_prot00177,B_prot00177
A_prot00178,B_prot00178
A_prot00179,B_prot00179
A_prot00180,B_prot00180
A_prot00181,B_prot00181
A_prot00182,B_prot00182
A_prot00183,B_prot00183
A_prot00184,B_prot00184
A_prot00185,B_prot00185
A_prot00186,B_prot00186
A_prot00187,B_prot00187
A_prot00188,B_prot00188
A_prot00189,B_prot00189
A_prot00190,B_prot00190
A_prot00191,B_prot00191
A_prot00192,B_prot00192
A_prot00193,B_prot00193
A_prot00194,B_prot00194
A_prot00195,B_prot00195
A_prot00196,B_prot00196
A_prot00197,B_prot00197
A_prot00198,B_prot00198
A_prot00199,B_prot00199
A_prot00200,B_prot00200
A_prot00201,B_prot00201
A_prot00202,B_prot00202
A_prot00203,B_prot00203
A_prot00204,B_prot00204
A_prot00205,B_prot00205
A_prot00206,B_prot00206
A_prot00207,B_prot00207
A_prot00208,B_prot00208
A_prot00209,B_prot00209
A_prot00210,B_prot00210
A_prot00211,B_prot00211
A_prot00212,B_prot00212
A_prot00213,B_prot00213
A_prot00214,B_prot00214
A_prot00215,B_prot00215
A_prot00216,B_prot00216
A_prot00217,B_prot00217
A_prot00218,B_prot00218
A_prot00219,B_prot00219
A_prot00220,B_prot00220
A_prot00221,B_prot00221
A_prot00222,B_prot00222
A_prot00223,B_prot00223
A_prot00224,B_prot00224
A_prot00225,B_prot00225
A_prot00226,B_prot00226
A_prot00227,B_prot00227
A_prot00228,B_prot00228
A_prot00229,B_prot00229
A_prot00230,B_prot00230
A_prot00231,B_prot00231
A_prot00232,B_prot00232
A_prot00233,B_prot00233
A_prot00234,B_prot00234
A_prot00235,B_prot00235
A_prot00236,B_prot00236
A_prot00237,B_prot00237
A_prot00238,B_prot00238
A_prot00239,B_prot00239
A_prot00240,B_prot00240
A_prot00241,B_prot00241
A_prot00242,B_prot00242
A_prot00243,B_prot00243
A_prot00244,B_prot00244
A_prot00245,B_prot00245
A_prot00246,B_prot00246
A_prot00247,B_prot00247
A_prot00248,B_prot00248
A_prot00249,B_prot00249
A_prot00250,B_prot00250
A_prot00251,B_prot00251
A_prot00252,B_prot00252
A_prot00253,B_prot00253
A_prot00254,B_prot00254
A_prot00255,B_prot00255
A_prot00256,B_prot00256
A_prot00257,B_prot00257
A_prot00258,B_prot00258
A_prot00259,B_prot00259
A_prot00260,B_prot00260
A_prot00261,B_prot00261
A_prot00262,B_prot00262
A_prot00263,B_prot00263
A_prot00264,B_prot00264
A_prot00265,B_prot00265
A_prot00266,B_prot00266
A_prot00267,B_prot00267
A_prot00268,B_prot00268
A_prot00269,B_prot00269
A_prot00270,B_prot00270
A_prot00271,B_prot00271
A_prot00272,B_prot00272
A_prot00273,B_prot00273
A_prot00274,B_prot00274
A_prot00275,B_prot00275
A_prot00276,B_prot00276
A_prot00277,B_prot00277
A_prot00278,B_prot00278
A_prot00279,B_prot00279
A_prot00280,B_prot00280
A_prot00281,B_prot00281
A_prot00282,B_prot00282
A_prot00283,B_prot00283
A_prot00284,B_prot00284
A_prot00285,B_prot00285
